Date,Open,High,Low,Close,Adj Close,Volume
1977-01-03,5.590371,5.715997,5.590371,5.602933,2.640836,227800
1977-01-04,5.577808,5.577808,5.477307,5.477307,2.581626,164100
1977-01-05,5.489870,5.602933,5.489870,5.502432,2.593469,193000
1977-01-06,5.502432,5.527557,5.464744,5.464744,2.575705,139200
1977-01-07,5.464744,5.502432,5.389369,5.389369,2.540177,119300
1977-01-10,5.389369,5.401931,5.288867,5.326555,2.510572,235700
1977-01-11,5.301430,5.301430,5.188366,5.188366,2.445438,201900
1977-01-12,5.175804,5.175804,5.062740,5.125553,2.415833,184000
1977-01-13,5.175804,5.200929,5.175804,5.175804,2.439518,241700
1977-01-14,5.175804,5.251179,5.138116,5.238617,2.469125,761100
1977-01-17,5.238617,5.263742,5.226054,5.251179,2.475044,672600
1977-01-18,5.251179,5.276305,5.251179,5.263742,2.480967,222800
1977-01-19,5.263742,5.351680,5.263742,5.351680,2.522413,94500
1977-01-20,5.376806,5.439619,5.376806,5.376806,2.534257,176100
1977-01-21,5.376806,5.414494,5.364243,5.389369,2.540177,1066600
1977-01-24,5.389369,5.427056,5.351680,5.376806,2.534257,511400
1977-01-25,5.376806,5.376806,5.226054,5.226054,2.463202,317400
1977-01-26,5.226054,5.276305,5.200929,5.226054,2.463202,117400
1977-01-27,5.150678,5.150678,5.025052,5.050178,2.380308,254700
1977-01-28,5.075303,5.150678,5.075303,5.125553,2.415833,112400
1977-01-31,5.125553,5.125553,4.987364,5.050178,2.380308,202900
1977-02-01,5.050178,5.100428,5.037615,5.075303,2.392149,81500
1977-02-02,5.075303,5.112990,5.012489,5.012489,2.362543,538200
1977-02-03,5.012489,5.025052,4.987364,4.987364,2.350701,126300
1977-02-04,4.987364,4.987364,4.798925,4.824050,2.273725,359100
1977-02-07,4.824050,4.824050,4.648173,4.648173,2.190828,299400
1977-02-08,4.648173,4.748674,4.648173,4.710986,2.220435,422800
1977-02-09,4.710986,4.710986,4.623048,4.623048,2.178987,14900
1977-02-10,4.623048,4.648173,4.585360,4.585360,2.161222,269600
1977-02-11,4.585360,4.623048,4.585360,4.623048,2.178987,292500
1977-02-14,4.623048,4.673298,4.585360,4.673298,2.202671,306400
1977-02-15,4.673298,4.685861,4.648173,4.648173,2.190828,502400
1977-02-16,4.648173,4.698424,4.648173,4.673298,2.202671,328300
1977-02-17,4.648173,4.648173,4.585360,4.597923,2.167145,142200
1977-02-18,4.572797,4.572797,4.371795,4.509984,2.125697,305400
1977-02-22,4.509984,4.522547,4.472296,4.497422,2.119774,133300
1977-02-23,4.497422,4.497422,4.459733,4.472296,2.107934,69600
1977-02-24,4.459733,4.459733,4.384358,4.396921,2.072406,154200
1977-02-25,4.396921,4.447171,4.371795,4.447171,2.096092,309400
1977-02-28,4.434608,4.434608,4.422046,4.434608,2.090171,140200
1977-03-01,4.434608,4.560235,4.434608,4.560235,2.149381,340200
